energy_mev,stopping_mev_cm2_g,range_g_cm2,range_mm,source_sheet
500.0,2.169481,148.1166,548.58,p_Al
550.0,2.0884404,171.5499,635.37,p_Al
600.0,2.0224064,195.8202,725.26,p_Al
650.0,1.9673774,220.833,817.9,p_Al
700.0,1.9203524,246.49920000000003,912.96,p_Al
800.0,1.8473114,299.7,1110.0,p_Al
900.0,1.7932792000000002,353.70000000000005,1310.0,p_Al
1000.0,1.7522532000000002,410.4,1520.0,p_Al
1100.0,1.7202317999999999,467.1,1730.0,p_Al
1200.0,1.6952137999999999,526.5,1950.0,p_Al
1300.0,1.6761985,585.9,2170.0,p_Al
1400.0,1.6611853,645.3,2390.0,p_Al
1500.0,1.6491738000000002,704.7,2610.0,p_Al
1600.0,1.6401637,766.8000000000001,2840.0,p_Al
1700.0,1.6321547,828.9,3070.0,p_Al
1800.0,1.6261467,888.3,3290.0,p_Al
2000.0,1.619133,1012.5,3750.0,p_Al
2250.0,1.6151192,1166.4,4320.0,p_Al
2500.0,1.6141079999999999,1320.3,4890.0,p_Al
2750.0,1.6160988500000002,1474.2000000000003,5460.0,p_Al
3000.0,1.6200911399999998,1630.8000000000002,6040.0,p_Al
3250.0,1.62508459,1784.7,6610.0,p_Al
3500.0,1.6300789299999998,1935.9,7170.0,p_Al
3750.0,1.6360740100000002,2089.8,7740.0,p_Al
4000.0,1.64206968,2241.0,8300.0,p_Al
4500.0,1.65506242,2546.1,9430.0,p_Al
5000.0,1.66805656,2845.8,10540.0,p_Al
5500.0,1.68005174,3142.8,11640.0,p_Al
6000.0,1.6920476899999999,3439.8,12740.0,p_Al
6500.0,1.70404425,3734.1,13830.0,p_Al
7000.0,1.71504129,4025.7,14910.0,p_Al
8000.0,1.7360364299999997,4606.2,17060.0,p_Al
9000.0,1.7540326199999998,5178.6,19180.0,p_Al
10000.0,1.7710295600000001,5745.6,21280.0,p_Al
11000.0,1.78604,6325.3383300000005,23427.179,p_Al
12000.0,1.79985,6905.530530000001,25576.039,p_Al
13000.0,1.81266,7486.138529999999,27726.439,p_Al
14000.0,1.8245900000000002,8067.13101,29878.263,p_Al
15000.0,1.8357700000000001,8648.48043,32031.409,p_Al
16000.0,1.84629,9230.1633,34185.79,p_Al
17000.0,1.85623,9812.15883,36341.329,p_Al
18000.0,1.86565,10394.44866,38497.958,p_Al
20000.0,1.88314,11559.848580000002,42814.254,p_Al
22500.0,1.9028800000000001,13017.9987,48214.81,p_Al
25000.0,1.92072,14477.545800000002,53620.54,p_Al
27500.0,1.9369999999999998,15938.34732,59030.916,p_Al
30000.0,1.95198,17400.293100000003,64445.53,p_Al
32500.0,1.9658700000000002,18863.287560000004,69864.028,p_Al
35000.0,1.9788100000000002,20327.25024,75286.112,p_Al
37500.0,1.9909400000000002,21792.11256,80711.528,p_Al
40000.0,2.00235,23257.814850000002,86140.055,p_Al
45000.0,2.02334,26191.53711,97005.693,p_Al
50000.0,2.0423,29128.067640000005,107881.732,p_Al
55000.0,2.0596099999999997,32067.12672,118767.136,p_Al
60000.0,2.07555,35008.48593,129661.059,p_Al
65000.0,2.09031,37951.95465000001,140562.795,p_Al
70000.0,2.10407,40897.37142,151471.746,p_Al
80000.0,2.1291,46793.51505,173309.315,p_Al
90000.0,2.15142,52696.012050000005,195170.415,p_Al
100000.0,2.17159,58604.15853,217052.439,p_Al
