z,symbol,mass_number,mass_to_charge,energy_mev_per_nucleon,let_electronic_mev_cm2_mg,let_nuclear_mev_cm2_mg,let_total_mev_cm2_mg,electronic_source_sheet,nuclear_source_sheet
2,He,4.0,2.0,37.5,0.0494,2.28e-05,0.0494228,i_Si_e,i_Si_n
2,He,4.0,2.0,40.0,0.047,2.15e-05,0.0470215,i_Si_e,i_Si_n
2,He,4.0,2.0,42.5,0.0448,2.035e-05,0.04482035,i_Si_e,i_Si_n
2,He,4.0,2.0,45.0,0.0428,1.932e-05,0.04281932,i_Si_e,i_Si_n
2,He,4.0,2.0,50.0,0.0395,1.755e-05,0.03951755,i_Si_e,i_Si_n
2,He,4.0,2.0,56.25,0.036,1.576e-05,0.036015759999999994,i_Si_e,i_Si_n
2,He,4.0,2.0,62.5,0.0332,1.432e-05,0.03321432,i_Si_e,i_Si_n
2,He,4.0,2.0,68.75,0.0309,1.313e-05,0.03091313,i_Si_e,i_Si_n
2,He,4.0,2.0,75.0,0.0289,1.212e-05,0.02891212,i_Si_e,i_Si_n
2,He,4.0,2.0,81.25,0.0272,1.127e-05,0.02721127,i_Si_e,i_Si_n
2,He,4.0,2.0,87.5,0.0258,1.053e-05,0.02581053,i_Si_e,i_Si_n
2,He,4.0,2.0,93.75,0.0245,9.885e-06,0.024509885000000002,i_Si_e,i_Si_n
2,He,4.0,2.0,100.0,0.0234,9.318e-06,0.023409318000000002,i_Si_e,i_Si_n
2,He,4.0,2.0,112.5,0.0214,8.364e-06,0.021408364,i_Si_e,i_Si_n
2,He,4.0,2.0,125.0,0.0199,7.594e-06,0.019907594,i_Si_e,i_Si_n
2,He,4.0,2.0,137.5,0.0186,6.958e-06,0.018606958,i_Si_e,i_Si_n
2,He,4.0,2.0,150.0,0.0175,6.423e-06,0.017506423,i_Si_e,i_Si_n
2,He,4.0,2.0,162.5,0.0166,5.968e-06,0.016605968,i_Si_e,i_Si_n
2,He,4.0,2.0,175.0,0.0158,5.575e-06,0.015805575000000002,i_Si_e,i_Si_n
2,He,4.0,2.0,200.0,0.0145,4.93e-06,0.014504930000000001,i_Si_e,i_Si_n
2,He,4.0,2.0,225.0,0.0135,4.423e-06,0.013504423,i_Si_e,i_Si_n
2,He,4.0,2.0,250.0,0.0127,4.014e-06,0.012704014,i_Si_e,i_Si_n
2,He,4.0,2.0,275.0,0.012,3.676e-06,0.012003676,i_Si_e,i_Si_n
2,He,4.0,2.0,300.0,0.0114,3.392e-06,0.011403392,i_Si_e,i_Si_n
2,He,4.0,2.0,325.0,0.0109,3.151e-06,0.010903151,i_Si_e,i_Si_n
2,He,4.0,2.0,350.0,0.0105,2.942e-06,0.010502942000000001,i_Si_e,i_Si_n
2,He,4.0,2.0,375.0,0.0102,2.76e-06,0.01020276,i_Si_e,i_Si_n
2,He,4.0,2.0,400.0,0.00985,2.6e-06,0.0098526,i_Si_e,i_Si_n
2,He,4.0,2.0,425.0,0.00957,2.459e-06,0.009572459,i_Si_e,i_Si_n
2,He,4.0,2.0,450.0,0.00933,2.332e-06,0.009332332,i_Si_e,i_Si_n
2,He,4.0,2.0,500.0,0.00892,2.115e-06,0.008922115000000001,i_Si_e,i_Si_n
2,He,4.0,2.0,562.5,0.00852,1.897e-06,0.008521897,i_Si_e,i_Si_n
2,He,4.0,2.0,625.0,0.0082,1.72e-06,0.008201720000000001,i_Si_e,i_Si_n
2,He,4.0,2.0,687.5,0.00795,1.575e-06,0.007951575,i_Si_e,i_Si_n
2,He,4.0,2.0,750.0,0.00774,1.452e-06,0.007741452,i_Si_e,i_Si_n
2,He,4.0,2.0,812.5,0.00757,1.348e-06,0.007571348,i_Si_e,i_Si_n
2,He,4.0,2.0,875.0,0.00743,1.259e-06,0.007431259,i_Si_e,i_Si_n
2,He,4.0,2.0,937.5,0.00732,1.181e-06,0.007321181,i_Si_e,i_Si_n
2,He,4.0,2.0,1000.0,0.00722,1.112e-06,0.007221112,i_Si_e,i_Si_n
2,He,4.0,2.0,1125.0,0.00706,9.964e-07,0.0070609964,i_Si_e,i_Si_n
2,He,4.0,2.0,1250.0,0.00695,9.034e-07,0.0069509034,i_Si_e,i_Si_n
2,He,4.0,2.0,1375.0,0.00686,8.267e-07,0.006860826699999999,i_Si_e,i_Si_n
2,He,4.0,2.0,1500.0,0.0068,7.623e-07,0.0068007623,i_Si_e,i_Si_n
